,ID,hatzvara_quality,in_building_quality,staying,Identification,profession,number_of_buildings,geo_buildings,geo_buildings_new,geo_buildings_assessment_summary
10,TZ10,high,medium,1_to_3,לוי,מלצר,2,"['POLYGON ((34.7438489 32.0342363, 34.7439627 32.0341966, 34.7440191 32.0343127, 34.7439053 32.0343524, 34.7438489 32.0342363))', 'POLYGON ((34.7439919 32.0339178, 34.7440503 32.0340113, 34.7439339 32.0340635, 34.7438755 32.03397, 34.7439919 32.0339178))']","[['POLYGON ((34.7438489 32.0342363, 34.7439627 32.0341966, 34.7440191 32.0343127, 34.7439053 32.0343524, 34.7438489 32.0342363))', 'unknown'], ['POLYGON ((34.7439919 32.0339178, 34.7440503 32.0340113, 34.7439339 32.0340635, 34.7438755 32.03397, 34.7439919 32.0339178))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
11,TZ11,low,low,1_to_3,סולומון,עובד ציבור,3,"['POLYGON ((34.744084 32.0340558, 34.7441413 32.0341606, 34.7440051 32.0342142, 34.7439477 32.0341094, 34.744084 32.0340558))', 'POLYGON ((34.7441549 32.0341966, 34.7442011 32.0342758, 34.744072 32.0343299, 34.7440259 32.0342507, 34.7441549 32.0341966))', 'POLYGON ((34.7440212 32.034487, 34.7441441 32.0344372, 34.7442128 32.0345591, 34.7440898 32.0346089, 34.7440212 32.034487))']","[['POLYGON ((34.744084 32.0340558, 34.7441413 32.0341606, 34.7440051 32.0342142, 34.7439477 32.0341094, 34.744084 32.0340558))', 'unknown'], ['POLYGON ((34.7441549 32.0341966, 34.7442011 32.0342758, 34.744072 32.0343299, 34.7440259 32.0342507, 34.7441549 32.0341966))', 'unknown'], ['POLYGON ((34.7440212 32.034487, 34.7441441 32.0344372, 34.7442128 32.0345591, 34.7440898 32.0346089, 34.7440212 32.034487))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
12,TZ12,high,high,3_to_6,אבוטבול,נהג,1,"['POLYGON ((34.744156 32.034424, 34.7442498 32.0343859, 34.7443133 32.0344981, 34.7442195 32.0345362, 34.744156 32.034424))']","[['POLYGON ((34.744156 32.034424, 34.7442498 32.0343859, 34.7443133 32.0344981, 34.7442195 32.0345362, 34.744156 32.034424))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
13,TZ13,low,medium,6_t0_10,סולומון,נהג,2,"['POLYGON ((34.7442085 32.0331044, 34.7443527 32.0332101, 34.7442675 32.0332938, 34.7441232 32.0331881, 34.7442085 32.0331044))', 'POLYGON ((34.7444225 32.033397, 34.7444182 32.0335444, 34.7441675 32.0335392, 34.7441732 32.0333409, 34.7443428 32.0333444, 34.7443414 32.0333953, 34.7444225 32.033397))']","[['POLYGON ((34.7442085 32.0331044, 34.7443527 32.0332101, 34.7442675 32.0332938, 34.7441232 32.0331881, 34.7442085 32.0331044))', 'unknown'], ['POLYGON ((34.7444225 32.033397, 34.7444182 32.0335444, 34.7441675 32.0335392, 34.7441732 32.0333409, 34.7443428 32.0333444, 34.7443414 32.0333953, 34.7444225 32.033397))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
14,TZ14,high,medium,3_to_6,סולומון,נהג,1,"['POLYGON ((34.7442942 32.0325663, 34.7444885 32.0327403, 34.7442887 32.0329006, 34.7440944 32.0327267, 34.7441249 32.0327022, 34.7442942 32.0325663))']","[['POLYGON ((34.7442942 32.0325663, 34.7444885 32.0327403, 34.7442887 32.0329006, 34.7440944 32.0327267, 34.7441249 32.0327022, 34.7442942 32.0325663))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
15,TZ15,low,medium,1_to_3,מימון,רופא,3,"['POLYGON ((34.7444738 32.0338898, 34.7443951 32.0337766, 34.7442154 32.0338664, 34.7442942 32.0339797, 34.7444738 32.0338898))', 'POLYGON ((34.744317 32.0345014, 34.7443945 32.034463, 34.7444738 32.0345779, 34.7443963 32.0346163, 34.744317 32.0345014))', 'POLYGON ((34.7443497 32.034697, 34.7444915 32.0346349, 34.7445468 32.0347256, 34.7444049 32.0347877, 34.7443497 32.034697))']","[['POLYGON ((34.7444738 32.0338898, 34.7443951 32.0337766, 34.7442154 32.0338664, 34.7442942 32.0339797, 34.7444738 32.0338898))', 'unknown'], ['POLYGON ((34.744317 32.0345014, 34.7443945 32.034463, 34.7444738 32.0345779, 34.7443963 32.0346163, 34.744317 32.0345014))', 'unknown'], ['POLYGON ((34.7443497 32.034697, 34.7444915 32.0346349, 34.7445468 32.0347256, 34.7444049 32.0347877, 34.7443497 32.034697))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
16,TZ16,high,low,10+,מימון,רופא,3,"['POLYGON ((34.7445555 32.0340281, 34.7446289 32.034148, 34.7444139 32.0342426, 34.7443405 32.0341227, 34.7445555 32.0340281))', 'POLYGON ((34.7444318 32.0337511, 34.7444777 32.0338361, 34.7445939 32.0337909, 34.744548 32.033706, 34.7444318 32.0337511))', 'POLYGON ((34.7443717 32.0325239, 34.7444785 32.0324554, 34.744704 32.0323108, 34.7448181 32.0322376, 34.7449304 32.0323634, 34.744484 32.0326497, 34.7443717 32.0325239))']","[['POLYGON ((34.7445555 32.0340281, 34.7446289 32.034148, 34.7444139 32.0342426, 34.7443405 32.0341227, 34.7445555 32.0340281))', 'unknown'], ['POLYGON ((34.7444318 32.0337511, 34.7444777 32.0338361, 34.7445939 32.0337909, 34.744548 32.033706, 34.7444318 32.0337511))', 'unknown'], ['POLYGON ((34.7443717 32.0325239, 34.7444785 32.0324554, 34.744704 32.0323108, 34.7448181 32.0322376, 34.7449304 32.0323634, 34.744484 32.0326497, 34.7443717 32.0325239))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
17,TZ17,low,high,10+,אבוטבול,רופא,2,"['POLYGON ((34.7445724 32.0340009, 34.7447286 32.0339206, 34.7448317 32.0340646, 34.7446754 32.0341449, 34.7445724 32.0340009))', 'POLYGON ((34.7447441 32.0328767, 34.7448681 32.0330251, 34.7446891 32.0331326, 34.7445651 32.0329842, 34.7447441 32.0328767))']","[['POLYGON ((34.7445724 32.0340009, 34.7447286 32.0339206, 34.7448317 32.0340646, 34.7446754 32.0341449, 34.7445724 32.0340009))', 'unknown'], ['POLYGON ((34.7447441 32.0328767, 34.7448681 32.0330251, 34.7446891 32.0331326, 34.7445651 32.0329842, 34.7447441 32.0328767))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
18,TZ18,medium,low,0_to_1,אבוטבול,מלצר,2,"['POLYGON ((34.7446294 32.0336835, 34.7448493 32.033538, 34.744962 32.033629, 34.7448708 32.0337335, 34.7446777 32.0338427, 34.7446294 32.0336835))', 'POLYGON ((34.7448524 32.0331256, 34.7449171 32.0331713, 34.7447936 32.0332969, 34.7447289 32.0332511, 34.7448524 32.0331256))']","[['POLYGON ((34.7446294 32.0336835, 34.7448493 32.033538, 34.744962 32.033629, 34.7448708 32.0337335, 34.7446777 32.0338427, 34.7446294 32.0336835))', 'unknown'], ['POLYGON ((34.7448524 32.0331256, 34.7449171 32.0331713, 34.7447936 32.0332969, 34.7447289 32.0332511, 34.7448524 32.0331256))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
19,TZ19,medium,high,3_to_6,כהן,מלצר,3,"['POLYGON ((34.7449362 32.0331917, 34.7450422 32.033269, 34.7449202 32.0333893, 34.7448141 32.0333121, 34.7449362 32.0331917))', 'POLYGON ((34.7449997 32.0326314, 34.745117 32.0327615, 34.7450169 32.0328263, 34.7450708 32.0328862, 34.7450158 32.0329218, 34.7449339 32.032831, 34.7450057 32.0327846, 34.7449163 32.0326854, 34.7449997 32.0326314))', 'POLYGON ((34.7449366 32.0336595, 34.7450114 32.0335728, 34.7451758 32.0336747, 34.7450709 32.0337964, 34.7449995 32.0337522, 34.7450296 32.0337172, 34.7449366 32.0336595))']","[['POLYGON ((34.7449362 32.0331917, 34.7450422 32.033269, 34.7449202 32.0333893, 34.7448141 32.0333121, 34.7449362 32.0331917))', 'unknown'], ['POLYGON ((34.7449997 32.0326314, 34.745117 32.0327615, 34.7450169 32.0328263, 34.7450708 32.0328862, 34.7450158 32.0329218, 34.7449339 32.032831, 34.7450057 32.0327846, 34.7449163 32.0326854, 34.7449997 32.0326314))', 'unknown'], ['POLYGON ((34.7449366 32.0336595, 34.7450114 32.0335728, 34.7451758 32.0336747, 34.7450709 32.0337964, 34.7449995 32.0337522, 34.7450296 32.0337172, 34.7449366 32.0336595))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
20,TZ20,high,high,10+,אבוטבול,הייטק,1,"['POLYGON ((34.7451462 32.033211, 34.745243 32.0331289, 34.7451619 32.0330602, 34.7450651 32.0331423, 34.7451462 32.033211))']","[['POLYGON ((34.7451462 32.033211, 34.745243 32.0331289, 34.7451619 32.0330602, 34.7450651 32.0331423, 34.7451462 32.033211))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
21,TZ21,high,high,3_to_6,מימון,רופא,2,"['POLYGON ((34.74521 32.0333143, 34.7453421 32.0334143, 34.7453777 32.0333805, 34.7454828 32.0334601, 34.7455305 32.0334149, 34.7456525 32.0335073, 34.7455283 32.0336253, 34.745428 32.0335494, 34.7454046 32.0335716, 34.7452666 32.0334671, 34.7452489 32.0334839, 34.7451279 32.0333923, 34.74521 32.0333143))', 'POLYGON ((34.7451632 32.0344385, 34.7455613 32.0341394, 34.7457806 32.0343512, 34.7459385 32.0343239, 34.7455305 32.0346199, 34.7453728 32.0344606, 34.74519 32.0344737, 34.7451632 32.0344385))']","[['POLYGON ((34.74521 32.0333143, 34.7453421 32.0334143, 34.7453777 32.0333805, 34.7454828 32.0334601, 34.7455305 32.0334149, 34.7456525 32.0335073, 34.7455283 32.0336253, 34.745428 32.0335494, 34.7454046 32.0335716, 34.7452666 32.0334671, 34.7452489 32.0334839, 34.7451279 32.0333923, 34.74521 32.0333143))', 'unknown'], ['POLYGON ((34.7451632 32.0344385, 34.7455613 32.0341394, 34.7457806 32.0343512, 34.7459385 32.0343239, 34.7455305 32.0346199, 34.7453728 32.0344606, 34.74519 32.0344737, 34.7451632 32.0344385))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
22,TZ22,low,medium,6_t0_10,גרדה,נגר,2,"['POLYGON ((34.745635 32.0324725, 34.745802 32.0326807, 34.7454466 32.0328855, 34.7452796 32.0326773, 34.745635 32.0324725))', 'POLYGON ((34.7455264 32.0330846, 34.7457493 32.0332755, 34.7457086 32.0333097, 34.7458408 32.0334229, 34.7457446 32.0335037, 34.7456043 32.0333836, 34.7456387 32.0333548, 34.7454237 32.0331708, 34.7455264 32.0330846))']","[['POLYGON ((34.745635 32.0324725, 34.745802 32.0326807, 34.7454466 32.0328855, 34.7452796 32.0326773, 34.745635 32.0324725))', 'unknown'], ['POLYGON ((34.7455264 32.0330846, 34.7457493 32.0332755, 34.7457086 32.0333097, 34.7458408 32.0334229, 34.7457446 32.0335037, 34.7456043 32.0333836, 34.7456387 32.0333548, 34.7454237 32.0331708, 34.7455264 32.0330846))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
23,TZ23,high,high,1_to_3,סולומון,עובד ציבור,1,"['POLYGON ((34.7455344 32.0336352, 34.7456632 32.0335499, 34.7457743 32.0336703, 34.7456455 32.0337557, 34.7455344 32.0336352))']","[['POLYGON ((34.7455344 32.0336352, 34.7456632 32.0335499, 34.7457743 32.0336703, 34.7456455 32.0337557, 34.7455344 32.0336352))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
24,TZ24,medium,high,0_to_1,כהן,נגר,1,"['POLYGON ((34.7456305 32.0379928, 34.7457364 32.0379857, 34.7457441 32.0381415, 34.7456383 32.0381408, 34.7456305 32.0379928))']","[['POLYGON ((34.7456305 32.0379928, 34.7457364 32.0379857, 34.7457441 32.0381415, 34.7456383 32.0381408, 34.7456305 32.0379928))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
25,TZ25,medium,low,1_to_3,סולומון,נגר,3,"['POLYGON ((34.7456041 32.0320004, 34.7456319 32.0320456, 34.7457517 32.0319927, 34.7457889 32.0320532, 34.745822 32.0320386, 34.7458612 32.0321022, 34.7458111 32.0321244, 34.7458389 32.0321694, 34.7457413 32.0322126, 34.7456867 32.0321239, 34.7456095 32.032158, 34.7455321 32.0320323, 34.7456041 32.0320004))', 'POLYGON ((34.7456827 32.0402741, 34.7457098 32.0403774, 34.7457562 32.0403686, 34.7457292 32.0402653, 34.7456827 32.0402741))', 'POLYGON ((34.7457039 32.0404053, 34.7457272 32.0404922, 34.7457986 32.0404785, 34.7457754 32.0403916, 34.7457039 32.0404053))']","[['POLYGON ((34.7456041 32.0320004, 34.7456319 32.0320456, 34.7457517 32.0319927, 34.7457889 32.0320532, 34.745822 32.0320386, 34.7458612 32.0321022, 34.7458111 32.0321244, 34.7458389 32.0321694, 34.7457413 32.0322126, 34.7456867 32.0321239, 34.7456095 32.032158, 34.7455321 32.0320323, 34.7456041 32.0320004))', 'unknown'], ['POLYGON ((34.7456827 32.0402741, 34.7457098 32.0403774, 34.7457562 32.0403686, 34.7457292 32.0402653, 34.7456827 32.0402741))', 'unknown'], ['POLYGON ((34.7457039 32.0404053, 34.7457272 32.0404922, 34.7457986 32.0404785, 34.7457754 32.0403916, 34.7457039 32.0404053))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
26,TZ26,medium,medium,6_t0_10,אבוטבול,רופא,3,"['POLYGON ((34.7457353 32.0401087, 34.7457201 32.0399559, 34.7458145 32.0399492, 34.7458298 32.0401019, 34.7457353 32.0401087))', 'POLYGON ((34.7457839 32.034079, 34.7459238 32.0342149, 34.7457743 32.0343255, 34.7456344 32.0341896, 34.7457839 32.034079))', 'POLYGON ((34.7457454 32.0401375, 34.7457778 32.0403077, 34.7458176 32.0403023, 34.7458279 32.0403569, 34.7460203 32.0403306, 34.7459852 32.040146, 34.7458511 32.0401643, 34.7458434 32.0401241, 34.7457454 32.0401375))']","[['POLYGON ((34.7457353 32.0401087, 34.7457201 32.0399559, 34.7458145 32.0399492, 34.7458298 32.0401019, 34.7457353 32.0401087))', 'unknown'], ['POLYGON ((34.7457839 32.034079, 34.7459238 32.0342149, 34.7457743 32.0343255, 34.7456344 32.0341896, 34.7457839 32.034079))', 'unknown'], ['POLYGON ((34.7457454 32.0401375, 34.7457778 32.0403077, 34.7458176 32.0403023, 34.7458279 32.0403569, 34.7460203 32.0403306, 34.7459852 32.040146, 34.7458511 32.0401643, 34.7458434 32.0401241, 34.7457454 32.0401375))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
27,TZ27,high,medium,10+,אבוטבול,נגר,3,"['POLYGON ((34.7458418 32.0328103, 34.745984 32.0327433, 34.7460592 32.032858, 34.745917 32.032925, 34.7458418 32.0328103))', 'POLYGON ((34.7459991 32.0334128, 34.7460779 32.0334827, 34.74599 32.0335539, 34.7459498 32.0335182, 34.7459068 32.033553, 34.7458325 32.0334871, 34.7459258 32.0334115, 34.7459616 32.0334432, 34.7459991 32.0334128))', 'POLYGON ((34.745825 32.0337276, 34.7460033 32.0335984, 34.7461077 32.0337019, 34.7459293 32.0338311, 34.745825 32.0337276))']","[['POLYGON ((34.7458418 32.0328103, 34.745984 32.0327433, 34.7460592 32.032858, 34.745917 32.032925, 34.7458418 32.0328103))', 'unknown'], ['POLYGON ((34.7459991 32.0334128, 34.7460779 32.0334827, 34.74599 32.0335539, 34.7459498 32.0335182, 34.7459068 32.033553, 34.7458325 32.0334871, 34.7459258 32.0334115, 34.7459616 32.0334432, 34.7459991 32.0334128))', 'unknown'], ['POLYGON ((34.745825 32.0337276, 34.7460033 32.0335984, 34.7461077 32.0337019, 34.7459293 32.0338311, 34.745825 32.0337276))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
28,TZ28,high,high,1_to_3,גרדה,הייטק,1,"['POLYGON ((34.7459269 32.0358125, 34.7460953 32.0356918, 34.7460262 32.0356224, 34.7458577 32.0357431, 34.7459269 32.0358125))']","[['POLYGON ((34.7459269 32.0358125, 34.7460953 32.0356918, 34.7460262 32.0356224, 34.7458577 32.0357431, 34.7459269 32.0358125))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
29,TZ29,medium,medium,3_to_6,מימון,עובד ציבור,3,"['POLYGON ((34.7460972 32.032207, 34.7461764 32.0323081, 34.7460399 32.0323849, 34.7460929 32.0324527, 34.7461272 32.0324334, 34.7461911 32.0325152, 34.7459416 32.0326555, 34.7458495 32.0325378, 34.7459665 32.032472, 34.7458624 32.0323391, 34.7460972 32.032207))', 'POLYGON ((34.7460018 32.0404348, 34.7460068 32.0404968, 34.7461209 32.0404903, 34.746116 32.0404282, 34.7460018 32.0404348))', 'POLYGON ((34.7462339 32.0359741, 34.746106 32.0358485, 34.7459813 32.0359398, 34.7461092 32.0360653, 34.7462339 32.0359741))']","[['POLYGON ((34.7460972 32.032207, 34.7461764 32.0323081, 34.7460399 32.0323849, 34.7460929 32.0324527, 34.7461272 32.0324334, 34.7461911 32.0325152, 34.7459416 32.0326555, 34.7458495 32.0325378, 34.7459665 32.032472, 34.7458624 32.0323391, 34.7460972 32.032207))', 'unknown'], ['POLYGON ((34.7460018 32.0404348, 34.7460068 32.0404968, 34.7461209 32.0404903, 34.746116 32.0404282, 34.7460018 32.0404348))', 'unknown'], ['POLYGON ((34.7462339 32.0359741, 34.746106 32.0358485, 34.7459813 32.0359398, 34.7461092 32.0360653, 34.7462339 32.0359741))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
30,TZ30,medium,medium,6_t0_10,מימון,מלצר,1,"['POLYGON ((34.7461577 32.0326453, 34.7462383 32.0327564, 34.7460838 32.032837, 34.7460032 32.0327259, 34.7461577 32.0326453))']","[['POLYGON ((34.7461577 32.0326453, 34.7462383 32.0327564, 34.7460838 32.032837, 34.7460032 32.0327259, 34.7461577 32.0326453))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
31,TZ31,low,medium,3_to_6,סולומון,מלצר,1,"['POLYGON ((34.7460173 32.033831, 34.7461899 32.0337152, 34.7462625 32.033793, 34.7460899 32.0339088, 34.7460173 32.033831))']","[['POLYGON ((34.7460173 32.033831, 34.7461899 32.0337152, 34.7462625 32.033793, 34.7460899 32.0339088, 34.7460173 32.033831))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
32,TZ32,high,low,0_to_1,גרדה,רופא,2,"['POLYGON ((34.7459069 32.0372067, 34.7459612 32.0373359, 34.7464422 32.0371906, 34.7463879 32.0370614, 34.7459069 32.0372067))', 'POLYGON ((34.7464174 32.0358713, 34.7462695 32.0357261, 34.746116 32.0358385, 34.7462639 32.0359837, 34.7464174 32.0358713))']","[['POLYGON ((34.7459069 32.0372067, 34.7459612 32.0373359, 34.7464422 32.0371906, 34.7463879 32.0370614, 34.7459069 32.0372067))', 'unknown'], ['POLYGON ((34.7464174 32.0358713, 34.7462695 32.0357261, 34.746116 32.0358385, 34.7462639 32.0359837, 34.7464174 32.0358713))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
